attribute,n_groups,demographic_parity_diff,disparate_impact_ratio,dir_passes_80pct_rule,tpr_parity_max_diff,fpr_parity_max_diff,mean_cal_bias_abs
gender,2,0.1302,0.612,False,0.1226,0.1142,0.00081
age_group,4,0.3179,0.1643,False,0.4951,0.2758,0.00092
education,4,0.2019,0.4051,False,0.2241,0.1707,0.00583
income_type,3,0.1542,0.5087,False,0.1174,0.1336,0.00297
