feature,importance
BUREAU_CREDIT_DAY_OVERDUE_SUM,4
PREV_NFLAG_INSURED_ON_APPROVAL_SUM,3
WEEKDAY_APPR_PROCESS_START_MONDAY,3
NAME_EDUCATION_TYPE_Lower_secondary,3
AMT_REQ_CREDIT_BUREAU_WEEK,2
WEEKDAY_APPR_PROCESS_START_SUNDAY,2
CNT_CHILDREN,2
REG_CITY_NOT_WORK_CITY,2
NAME_FAMILY_STATUS_Separated,2
FLAG_EMP_PHONE,1
FLAG_EMAIL,1
AMT_REQ_CREDIT_BUREAU_MON,1
NAME_HOUSING_TYPE_Municipal_apartment,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1
FONDKAPREMONT_MODE_reg_oper_account,1
NAME_TYPE_SUITE_Family,1
NAME_FAMILY_STATUS_Single_not_married,1
FLAG_DOCUMENT_6,1
BUREAU_CNT_CREDIT_PROLONG_SUM,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,1
NAME_HOUSING_TYPE_With_parents,1
NAME_HOUSING_TYPE_Rented_apartment,1
FLAG_DOCUMENT_5,0
REG_REGION_NOT_WORK_REGION,0
LIVE_REGION_NOT_WORK_REGION,0
REG_REGION_NOT_LIVE_REGION,0
LIVE_CITY_NOT_WORK_CITY,0
FLAG_DOCUMENT_8,0
POS_SK_DPD_DEF_MIN,0
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0
PREV_DAYS_FIRST_DRAWING_MAX,0
HAS_CHILDREN,0
FLAG_OWN_REALTY_Y,0
NAME_TYPE_SUITE_Spouse_partner,0
NAME_TYPE_SUITE_Unaccompanied,0
NAME_FAMILY_STATUS_Widow,0
NAME_EDUCATION_TYPE_Incomplete_higher,0
NAME_INCOME_TYPE_Commercial_associate,0
WEEKDAY_APPR_PROCESS_START_THURSDAY,0
FONDKAPREMONT_MODE_org_spec_account,0
FONDKAPREMONT_MODE_reg_oper_spec_account,0
WALLSMATERIAL_MODE_Stone_brick,0
WALLSMATERIAL_MODE_Wooden,0
